sample,group
TCGA.D7.5577.01A,STAD
TCGA.D7.6818.01A,STAD
TCGA.BR.4280.01A,STAD
TCGA.D7.8572.01A,STAD
GTEX.1399T.1326.SM.5PNVH,GTEx
GTEX.13OVL.0011.R3b.SM.5L3I8,GTEx
GTEX.Q2AI.0006.SM.2I3FG,GTEx
GTEX.ZTSS.1226.SM.51MSZ,GTEx
