gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSP00000352458,33,12,6,70,12,2,0,0,22,54,10,1,1,0,3,0,3,3,6,3,2
ENSP00000488481,580,952,981,89,1836,496,126,2002,164,158,425,20919,2580,871,21051,7392,12760,4021,579,12273,472
ENSP00000371272,457,146,1337,74,88,141,186,502,7,52,16,1136,4585,919,1628,935,2088,155,58,1524,80
ENSP00000381302,9,90,11,1,49,0,14,38,4,19,1,4,2,2,2,16,4,14,32,2,8
ENSP00000371307,136,85,109,164,54,8,142,96,70,122,59,454,282,281,510,146,131,275,886,367,454
ENSP00000251473,2370,2391,4756,3387,2621,430,2452,4313,963,3227,1284,3809,1393,3360,3416,1932,1797,2800,2543,2283,2027
ENSP00000359204,12,58,64,33,222,9,41,123,79,91,113,232,16,65,850,79,182,57,131,142,114
ENSP00000419669,241,54,188,115,91,58,9,57,21,93,23,0,1,2,8,0,4,1,2,3,1
ENSP00000507976,5483,5114,4195,6767,3185,1938,9301,7483,3012,6262,3346,4460,855,1130,5579,1911,2656,3380,5631,4640,4451
ENSP00000358696,7556,3491,5156,2839,3030,1105,20096,3964,2886,5993,2094,2203,220,2144,4986,2214,2190,4807,5310,3333,2908
ENSP00000323194,148,244,108,83,1773,178,78,1481,163,146,78,1107,41,353,1306,1366,3954,614,170,2071,648
ENSP00000426162,22137,11789,19453,19333,27265,4475,8578,21004,7009,44477,10058,10537,1510,5282,10676,7123,11072,5048,2787,10219,3089
ENSP00000326119,40,12,210,27,62,1,40,101,5,10,10,99,30,86,20,58,409,131,1289,95,3509
ENSP00000402758,56,42,44,46,12,2,47,30,8,35,23,16181,20,712,157,62,651,430,1101,9718,12892
ENSP00000357262,1066,642,822,1044,363,146,283,389,310,680,211,1434,946,946,1431,1295,1104,1294,2355,1423,2058
ENSP00000443366,150,43,793,599,68,12,643,209,18,102,107,38,4,18,24,18,33,32,110,43,28
ENSP00000378567,7604,5501,10050,8994,5268,2614,5530,7024,3551,10911,3266,11308,2196,7659,9611,3281,9750,8935,6133,12771,4616
ENSP00000406490,1317,638,1386,659,892,373,226,552,295,1474,586,899,342,549,1267,523,656,954,1146,1118,642
ENSP00000359169,21753,2639,2754,1229,8246,1815,17602,8193,1878,1209,2754,59,165,101,232,812,65,537,84,41,106
ENSP00000318914,2797,2080,1070,1950,1054,601,1018,1234,589,1080,843,1327,191,1417,3469,1231,1165,2710,1320,1905,908
ENSP00000480719,2238,35,184,95,46,44,869,106,47,201,177,76,14,58,132,205,46,56,50,24,44
ENSP00000473036,134,131,94,188,182,1,166,31,27,171,24,282,23,33,206,149,96,41,72,367,183
ENSP00000513359,1305,807,1173,1026,564,173,1724,1797,241,576,422,881,101,506,1704,1088,2301,790,2154,4001,1366
ENSP00000321116,125,17,315,31,5,0,68,133,6,17,6,23,6,10,6,2,0,4,51,3,1210
ENSP00000216180,264,29,45,14,33,14,1,74,20,14,12,44,45,0,46,6,34,19,28,54,486
ENSP00000358484,25223,15660,52820,22104,23023,3435,17278,40851,6577,13048,9263,11104,23942,21174,8478,5775,10238,5081,7254,6292,7307
ENSP00000296484,81,61,46,93,36,0,22,24,22,62,21,64,25,51,90,30,46,50,197,140,98
ENSP00000410216,583,342,709,574,403,86,208,218,218,578,280,512,184,377,465,207,237,509,633,556,396
ENSP00000379212,227,1307,99,182,1681,91,470,2271,644,1471,1102,15679,256,2566,23609,7713,15774,20530,3508,8690,4524
ENSP00000329682,2086,795,2592,1783,1871,230,2231,1208,343,1268,366,4541,850,4875,3393,1830,2287,3554,2181,3242,1865
ENSP00000404402,2168,1902,2137,2306,672,385,1176,1106,616,1529,786,2140,753,2348,3225,1488,1733,2938,3906,3394,2361
ENSP00000500742,3588,1417,2537,1958,1532,238,821,1448,726,2548,891,458,339,589,805,523,538,649,1118,947,614
ENSP00000416203,1986,1484,2740,1373,1041,160,877,1203,500,933,676,1752,3193,2579,2788,3278,1577,2658,5108,2862,3258
ENSP00000431239,1035,601,869,711,622,201,266,639,221,868,383,1369,305,861,957,499,649,1297,1304,1136,611
ENSP00000322570,3585,1771,1737,2726,1046,515,2255,1835,913,2778,1032,4754,3132,5218,2323,1511,1384,2367,3444,2852,2890
ENSP00000420176,481,618,970,298,400,42,1396,311,129,316,117,773,1223,1463,1460,997,956,862,937,1406,1028
ENSP00000361310,2672,1006,1012,2759,1442,494,211,960,1149,2064,1193,1049,160,500,554,344,364,529,1153,531,959
ENSP00000462664,3119,1434,2342,1885,1782,289,261,577,710,2906,1418,1829,314,1736,2388,1219,938,2477,2063,2021,1002
ENSP00000421997,2593,1908,3946,2155,2633,787,744,1956,1073,3345,1407,1281,587,1456,1757,849,1246,1172,1498,1374,803
ENSP00000372316,756,301,396,285,272,162,189,183,123,560,120,167,30,156,125,70,70,60,60,112,33
ENSP00000437914,2596,2648,1559,1862,677,338,1144,860,601,2069,869,905,423,487,990,342,723,890,1667,1172,883
ENSP00000392913,1307,793,1391,676,903,128,1161,660,337,585,387,1790,654,1467,2491,1207,1693,2202,3092,2301,1959
ENSP00000292614,210,170,365,208,158,23,76,162,68,110,112,1145,2691,895,1145,944,727,864,1307,1064,1152
ENSP00000351218,333,88,220,137,37,0,372,6,46,28,133,14,15,19,17,7,23,25,48,26,20
ENSP00000293860,133,95,96,159,36,43,55,104,41,86,36,187,187,122,242,123,144,196,254,238,163
ENSP00000486504,3826,2772,3762,4061,1907,624,2033,3631,1321,3359,2172,2518,1880,2613,2215,1121,1973,1908,2643,2426,1429
ENSP00000502774,685,391,435,387,484,91,100,592,314,590,273,57,24,25,54,32,61,88,99,52,47
ENSP00000506889,1024,905,859,690,411,111,998,902,248,894,317,1696,2667,845,1538,829,794,1990,1523,1737,1090
ENSP00000275569,475,415,500,502,529,21,83,314,298,658,593,256,150,284,296,177,183,400,451,345,345
ENSP00000341791,488,220,139,256,221,132,59,129,125,192,115,395,222,223,830,546,300,550,957,635,521
ENSP00000420795,692,243,185,378,163,104,218,272,148,709,224,250,572,215,247,9336,124,1143,106,243,206
ENSP00000386786,11,9,0,9,2,5,5,63,4,1,1,5,8,3,2,0,6,1,3,5,3
ENSP00000509972,519,283,185,529,122,180,230,350,124,205,70,291,95,324,223,161,594,255,157,169,172
ENSP00000501036,1750,2057,2181,3803,285,336,1533,315,692,1570,513,2204,0,30,8,3,2,4,0,45,68
