gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
ENSP00000246041,238,230,230,209,982,720,402,897
ENSP00000381098,5,6,65,75,1068,1007,949,1112
ENSP00000324636,333,243,264,220,0,0,0,0
ENSP00000454913,11,0,0,17,0,0,0,0
ENSP00000416293,516,397,472,547,0,0,0,0
ENSP00000293549,4,2,8,12,0,0,0,0
ENSP00000363571,3,22,1,36,0,232,232,381
ENSP00000354799,0,0,0,0,100,259,100,0
ENSP00000296695,982,758,704,807,0,100,0,0
ENSP00000335038,0,32,10,133,0,0,0,0
ENSP00000341988,0,0,0,2,0,0,0,0
ENSP00000417264,278,240,357,332,643,547,1085,553
ENSP00000514787,10,14,62,30,0,0,0,0
ENSP00000314946,10,103,0,150,382,0,0,203
ENSP00000467176,124,308,22,57,621,613,481,682
ENSP00000354687,1149,1194,1313,1161,0,0,0,0
ENSP00000498609,128,155,174,160,764,842,391,602
ENSP00000372139,0,0,0,0,0,0,0,0
ENSP00000366620,357,365,356,391,0,0,0,0
ENSP00000262241,357,324,345,330,0,0,0,0
ENSP00000350881,60,35,111,32,159,100,259,232
ENSP00000376744,182,165,276,265,837,922,439,475
ENSP00000503986,38,144,36,233,1071,920,803,1124
ENSP00000281830,87,158,55,161,0,0,0,0
ENSP00000506518,0,0,0,3,0,0,0,0
ENSP00000243056,1,2,0,259,100,581,0,100
ENSP00000351040,151,115,242,243,0,0,0,0
ENSP00000236937,67,185,67,96,0,0,100,0
ENSP00000343118,470,463,408,352,159,232,0,100
ENSP00000310978,213,184,255,263,0,0,0,0
ENSP00000468653,35,66,64,91,0,0,0,0
ENSP00000376889,40,41,102,32,688,868,487,752
ENSP00000319231,677,332,568,539,688,452,332,595
ENSP00000489218,217,245,213,275,1084,996,1236,1025
ENSP00000223862,47,79,19,17,0,0,0,0
ENSP00000249806,427,404,376,427,0,0,0,0
ENSP00000416684,92,209,37,197,409,232,100,200
ENSP00000466958,484,282,371,302,0,100,0,0
ENSP00000467717,345,381,377,367,425,100,0,100
ENSP00000383270,21,9,2,3,100,182,0,159
ENSP00000263379,284,284,288,307,844,648,892,687
ENSP00000265107,174,173,224,219,0,0,0,100
ENSP00000454911,0,0,0,0,232,100,0,232
ENSP00000493436,0,0,2,18,0,0,0,0
