gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
ENSP00000229955,12.5204500684451,25.9930328769782,19.9499437774312,30.9780179518779,161.026568577069,149.06293695689,91.4474967486586,141.237785190716
ENSP00000234701,0,6.93147543386085,34.1999036184534,9.31669712838432,0,17.2327094747849,0,0
ENSP00000396791,21.1282594905012,36.142693333703,32.127182187032,31.9096876647163,186.358403513542,203.690625991958,235.601186204672,199.305926732397
ENSP00000306105,45.3866314981136,43.8168268497632,35.4953545130918,44.7201462162447,0,0,0,0
ENSP00000282588,55.8203398884845,96.545550685919,85.7588492250613,75.9310815963322,0,34.4654189495699,22.5240139775021,16.7343347382365
ENSP00000426835,9.12949484157457,20.2993209134496,27.9817393241892,43.5555590751967,0,17.2327094747849,45.0480279550042,0
ENSP00000370589,133.290624686989,108.675632695175,145.090500199499,104.579925266114,16.1349267111291,0,45.0480279550042,0
ENSP00000428329,0,5.19860657539564,0.518180357855355,3.95959627956334,0,0,0,0
ENSP00000376431,8.60780942205603,20.5468736075161,13.7317794831669,32.8413573775547,197.007455142887,201.10571957074,241.457429838823,201.816076943132
ENSP00000365220,88.4256786083937,91.8420494986563,107.004243897131,77.3285861655899,204.752219964229,143.376142830211,124.332557155812,237.627553282959
ENSP00000509792,87.1214650595973,93.0798129689886,75.1361518890265,78.9590081630571,0,0,0,0
ENSP00000375992,15.3897198757971,11.6349766211236,16.840861630299,26.7855042441049,0,0,0,0
ENSP00000474824,97.0334880304497,86.8909956173271,82.6497670779291,85.7136135811357,16.1349267111291,0,0,0
ENSP00000366755,41.2131481419652,60.1553046581495,31.0908214713213,34.7046968032316,0,0,22.5240139775021,27.2769656233255
ENSP00000451962,67.2974191178926,120.805714704432,61.1452822269319,77.5615035937995,0,0,0,0
ENSP00000501492,0,1.73286885846521,0,10.0154494130131,0,0,0,16.7343347382365
ENSP00000295452,0,0.247552694066459,0,0.465834856419216,175.386653349974,161.298160683987,187.174556153043,177.216604877925
ENSP00000450444,1.82589896831491,3.21818502286397,4.92271339962587,8.8508622719651,0,0,0,26.6075922337961
ENSP00000467389,18.7806751026677,23.0224005481807,43.5271500598498,32.8413573775547,0,17.2327094747849,0,0
ENSP00000484732,40.1697773029281,91.5944968045898,54.66802775374,61.7231184755461,0,0,0,0
ENSP00000381206,14.34634903676,2.47552694066459,2.07272143142142,8.15210998733628,61.474070769402,80.9937345314892,22.5240139775021,68.4434290793874
ENSP00000354518,59.9938232446329,50.9958549776906,76.9497831415202,66.6143844679479,189.585388855767,160.608852304996,222.762498237496,188.428609152543
ENSP00000491472,0,0,0,0,171.19157240508,153.543441420334,225.014899635246,175.710514751483
ENSP00000406939,53.2119127908918,38.6182202743676,59.3316509744382,57.9964396241924,0,0,0,0
ENSP00000478933,0.78252812927782,1.2377634703323,0.518180357855355,2.32917428209608,0,0,0,0
