sample,group
SI_15001,STAD
SI_15002,STAD
SI_15003,STAD
SI_15004,STAD
SI_16462,STAD
SI_16463,STAD
SI_16464,STAD
SI_16465,STAD
SI_16466,STAD
SI_16467,STAD
SI_16468,STAD
GTEX.1117F.0226.SM.5GZZ7,GTEX
GTEX.1117F.0426.SM.5EGHI,GTEX
GTEX.1117F.0526.SM.5EGHJ,GTEX
GTEX.1117F.0626.SM.5N9CS,GTEX
GTEX.1117F.0726.SM.5GIEN,GTEX
GTEX.1117F.1326.SM.5EGHH,GTEX
GTEX.1117F.2426.SM.5EGGH,GTEX
GTEX.1117F.2526.SM.5GZY6,GTEX
GTEX.1117F.2826.SM.5GZXL,GTEX
GTEX.1117F.2926.SM.5GZYI,GTEX
