Gene	Terms
KIRREL2	GO:0005886
FGF2	GO:0008083,GO:0007165,GO:0048513,GO:0048731,GO:0005576,GO:0005634
MYEF2	GO:0003723
SERPINB13	GO:0004867,GO:0005615,GO:0005829,GO:0016607
ADAMTS10	GO:0004222,GO:0046872,GO:0006508,GO:0030198,GO:0005576
GPR161	GO:0004930,GO:0007186,GO:0016020
MYO10	GO:0003774,GO:0003779,GO:0005524,GO:0007165,GO:0005730,GO:0005829,GO:0005886,GO:0005938,GO:0016459
MRS2	GO:0006811,GO:0005743
CNTN5	GO:0005886,GO:0098552
MBNL1	GO:0046872,GO:0005654,GO:0005829
TAB3	GO:0043130
CACHD1	GO:0016020
KLK8	GO:0004252,GO:0006508
NCR1	GO:0005886
CRHR1	GO:0004930,GO:0007166,GO:0007186,GO:0005886
SYNGAP1	GO:0005096,GO:0046580
PPM1K	GO:0004722,GO:0046872,GO:0005759
ANKHD1	GO:0003723,GO:0005515
VDAC2	GO:0000166,GO:0008308,GO:0015288,GO:0098656,GO:0005739,GO:0005741,GO:0046930
CTDP1	GO:0008420,GO:0017018,GO:0006357,GO:0005654,GO:0043231
SEC11C	GO:0004252,GO:0006465,GO:0016020
MLST8	GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0031929,GO:0005737,GO:0031931,GO:0031932
RER1	GO:0005794,GO:0016020
VAV1	GO:0005085,GO:0046872,GO:0007166,GO:0035556,GO:0005829
USP19	GO:0004843,GO:0046872,GO:0016020
ZNF33A	GO:0046872,GO:0006355
GNAS	GO:0003924,GO:0005525,GO:0031683,GO:0046872,GO:0007186,GO:0005834
DMRT2	GO:0006355,GO:0005634
CNTNAP4	GO:0007155,GO:0016020
ATP9A	GO:0000287,GO:0005524,GO:0016887,GO:0140326,GO:0015914,GO:0034204,GO:0012505,GO:0016020
FGFR2	GO:0005007,GO:0005524,GO:0008284,GO:0008543,GO:0005794,GO:0005886
CCDC14	GO:0034451
RALGPS2	GO:0005085,GO:0007264
GSTZ1	GO:0005829
SPAG11A	GO:0005576
MYEF2	GO:0003723
CEP192	GO:0051298,GO:0071539,GO:0090222
VEGFA	GO:0008083,GO:0007165,GO:0007165,GO:0008284,GO:0051781,GO:0005576,GO:0016020
ZNF274	GO:0003677,GO:0046872,GO:0006355,GO:0005634
HRH3	GO:0004969,GO:0007186,GO:0005886
CUL4A	GO:0031625,GO:0006511,GO:0016567,GO:0031461
FADS1	GO:0062076,GO:0006636,GO:0005789
SCARF1	GO:0005044,GO:0016192
KLK11	GO:0004252,GO:0006508
PRSS57	GO:0004252,GO:0006508
LRIT3	GO:0016020
CACNA1C	GO:0005245,GO:0046872,GO:0070588,GO:0030315,GO:0030425,GO:0043204,GO:0098839,GO:0005891
GABRG3	GO:0004890,GO:0005230,GO:0005254,GO:0007214,GO:1902476,GO:0045211,GO:0034707
DGAT1	GO:0008374,GO:0016020
MED12	GO:0003712,GO:0008013,GO:0006357,GO:0016592
EP400	GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515
TMPRSS11A	GO:0004252,GO:0006508,GO:0005576,GO:0005886
ZNF446	GO:0005634
STIL	GO:0005654,GO:0005813
NRXN3	GO:0005246,GO:0007269,GO:0097107,GO:0099171,GO:0099645,GO:0042734,GO:0098978,GO:0098982,GO:0032991
BCL2L13	GO:0006915,GO:0042981
MPPE1	GO:0008081,GO:0046872,GO:0006506,GO:0006888,GO:0005654,GO:0005794,GO:0033116
NCR1	GO:0005886
NADK	GO:0003951,GO:0003951,GO:0006741,GO:0019674
IKZF1	GO:0003700,GO:0006355,GO:0005654,GO:0005829
TTN	GO:0004672,GO:0005524,GO:0043226
HNRNPUL1	GO:0005654
EPB41L3	GO:0003779,GO:0005198,GO:0030866,GO:0005856,GO:0005886,GO:0030054
RGS6	GO:0005096,GO:0007186,GO:0008277,GO:0009968,GO:0035556,GO:0005654,GO:0005730,GO:0043231
MUC1	GO:0005634,GO:0005737,GO:0005886,GO:0016324
MADD	GO:0005085,GO:0006915,GO:0005829,GO:0005886
DCHS2	GO:0005509,GO:0007156,GO:0005886
KIRREL2	GO:0005886
KCNMA1	GO:0005267,GO:0022839,GO:0099094,GO:0071805,GO:0016020
GPSM1	GO:0030695,GO:0005654,GO:0005794,GO:0016020
ZNF527	GO:0006355
EXOC7	GO:0005546,GO:0006887,GO:0015031,GO:0000145
DZANK1	GO:0046872,GO:0042995
ASAP1	GO:0005096,GO:0046872,GO:0005737
AKT2	GO:0005737
OSCAR	GO:0038064,GO:0038065,GO:0038094,GO:0045780,GO:0072674,GO:0009986
TEAD4	GO:0003677,GO:0003700,GO:0006355,GO:0035329,GO:0005634
MRPL19	GO:0003735,GO:0006412,GO:0005840,GO:1990904
SIRT2	GO:0016740,GO:0046872,GO:0070403,GO:0005730,GO:0005814,GO:0005819,GO:0005829,GO:0005874,GO:0005886,GO:0030496,GO:0043209
AKAP9	GO:0003677,GO:0060090,GO:0007165,GO:0005794,GO:0005813,GO:0043231
RPL17-C18orf32	GO:0003735,GO:0006412,GO:0015934
APP	GO:0008201,GO:0046914,GO:0005576,GO:0005634,GO:0005769,GO:0005783,GO:0005886,GO:0005905,GO:0009986,GO:0030426,GO:0043204
ZNF138	GO:0006355,GO:0016020
SPAG11B	GO:0005576
CDK5RAP2	GO:0005516,GO:0000226,GO:0005794,GO:0005813,GO:0030054
NLE1	GO:0007219,GO:0005654,GO:0005730
MIA3	GO:0016020,GO:0043231
PAX2	GO:0003677,GO:0006355,GO:0005654
CHD1L	GO:0003678,GO:0005524,GO:0016787,GO:0140658,GO:0006281,GO:0006338,GO:0032508,GO:0005654,GO:0005829,GO:0005886
ASTN2	GO:0001764,GO:0016020
SNX6	GO:0035091,GO:0006886,GO:0005764,GO:0005768
CTNNA2	GO:0045296,GO:0051015,GO:0007155,GO:0030154,GO:0005634,GO:0005737,GO:0030424
ARV1	GO:0016125,GO:0032366,GO:0097036,GO:0005789
CDC42BPA	GO:0004674,GO:0005524,GO:0046872,GO:0106310,GO:0007010,GO:0005737,GO:0030027,GO:0004674,GO:0005524,GO:0046872,GO:0007010,GO:0005737,GO:0030027
ATF3	GO:0003677,GO:0003700,GO:0006357,GO:0005634
NAV1	GO:0016887,GO:0022008
TNNT2	GO:0006937,GO:0005861
F5	GO:0005507,GO:0005576
ARHGAP30	GO:0043231,GO:0007165,GO:0043231
GPATCH4	GO:0003676,GO:0005654,GO:0005730
CENPW	GO:0003677,GO:0000278,GO:0051382,GO:0005654
ILF2	GO:0003677,GO:0005634
CASP7	GO:0004197,GO:0006508,GO:0006915
NRAP	GO:0003779,GO:0046872,GO:0005737
GJB7	GO:0007154,GO:0005922
CYB5R4	GO:0020037,GO:0046872
MYO6	GO:0003774,GO:0005524,GO:0051015,GO:0007605,GO:0005654,GO:0005794,GO:0005902,GO:0005905,GO:0030136,GO:0030175,GO:0032587,GO:0016459
NOLC1	GO:0001650
PRPF38B	GO:0000398,GO:0005681
HENMT1	GO:0008171,GO:0008173,GO:0001510,GO:0031047
ZNF326	GO:0003677,GO:0046872,GO:0006397,GO:0008380,GO:0005654,GO:0043231
OGFR	GO:0140625,GO:0016020
KYAT3	GO:0016212,GO:0030170,GO:0047315,GO:0047804,GO:0009058,GO:0097053
ANKRD2	GO:0043231
MAP7D3	GO:0000226,GO:0015630
UBE2U	GO:0005524,GO:0019787,GO:0032446
SMARCA1	GO:0003677,GO:0005524,GO:0016787,GO:0031491,GO:0140658,GO:0006338,GO:0005654,GO:0043231
SEPTIN8	GO:0005525
TTC39A	GO:0005813
VEGFA	GO:0008083,GO:0007165,GO:0007165,GO:0008284,GO:0051781,GO:0005576,GO:0016020
PRDX1	GO:0051920,GO:0098869,GO:0098869,GO:0005737
SLC13A3	GO:0015370,GO:0035725,GO:0016020
DYDC2	GO:0048188
PRPS1	GO:0000287,GO:0004749,GO:0009165
KCNMA1	GO:0005267,GO:0022839,GO:0099094,GO:0071805,GO:0016020
TAF8	GO:0046982,GO:0005654,GO:0005669
L3MBTL1	GO:0008270,GO:0006355,GO:0005634
UPRT	GO:0005654,GO:0043231
FNDC5	GO:0016020
SNRPC	GO:0003729,GO:0008270,GO:0030619,GO:0000387,GO:0000395,GO:0005654,GO:0000243,GO:0005685,GO:0071004
TMEM273	GO:0016020
ZNF33A	GO:0005634
TMEM38B	GO:0005267,GO:0042802,GO:0071805,GO:0005789
USP48	GO:0004197,GO:0004843
KIF17	GO:0003777,GO:0005524,GO:0008017,GO:0007018,GO:0005737,GO:0005874
WAC	GO:0006325,GO:0005654
NFKBIL1	GO:0043124,GO:0005654
ABI1	GO:0030027,GO:0030175
PRICKLE3	GO:0008270
ENTREP1	GO:0016020
ZNG1C	GO:0005634
TCTN1	GO:0030030
MARK2	GO:0004674,GO:0004674,GO:0005524,GO:0030425
GBA2	GO:0004553
EBPL	GO:0047750,GO:0016125,GO:0005789
PRXL2B	GO:0001516,GO:0005829
ZNF573	GO:0006355
DCTN3	GO:0061640,GO:0005869
NOL6	GO:0003723,GO:0005654,GO:0005730
APTX	GO:0003677,GO:0033699,GO:0046872,GO:0120108,GO:0006281,GO:0005654,GO:0005730
ELAVL2	GO:0003723,GO:1990904
DDRGK1	GO:0005730,GO:0005783
DENND4C	GO:0005829
NFIB	GO:0003677,GO:0003700,GO:0006260,GO:0045893,GO:0001650,GO:0005654
PITRM1	GO:0046872,GO:0006508,GO:0005739
SMC6	GO:0005524,GO:0016887,GO:0006302,GO:0000781,GO:0005634
ZMYND11	GO:0003677,GO:0003714,GO:0046872,GO:0006325,GO:0034243,GO:0045892,GO:0005654
A0A0A0MRY4	GO:0005085
CIDEC	GO:0006915
UNKL	GO:0046872,GO:0005829
TNIP1	GO:0043122,GO:0005654,GO:0005829
IGHG1	GO:0002250,GO:0005886,GO:0019814
IGHD	GO:0005886,GO:0019814
LILRB4	GO:0007166,GO:0016020
PLD3	GO:0016020
MFF	GO:0000266,GO:0090141,GO:0090314,GO:0005739,GO:0005741,GO:0005777,GO:0008021
ATXN3	GO:0004843,GO:0006508,GO:0005654,GO:0005730,GO:0005886
SLC10A3	GO:0015293,GO:0055085,GO:0016020
COG4	GO:0015031,GO:0005794,GO:0016020
SLC35B2	GO:0016020
OPALIN	GO:0005886
DENND1A	GO:0005085,GO:0017124,GO:0031267,GO:0032266,GO:0032456,GO:0048488,GO:0005829,GO:0030425,GO:0030665,GO:0043025,GO:0043231,GO:0098793
GSN	GO:0051015,GO:0051014,GO:0051016,GO:0060271,GO:0005737,GO:0005856
MS4A14	GO:0016020
MEGF11	GO:0005044,GO:0016192,GO:0016020
PDE1C	GO:0004115,GO:0046872,GO:0047555,GO:0007165
PGAP2	GO:0006506,GO:0000139,GO:0005789
IL15RA	GO:0042010,GO:0035723
C1QTNF7	GO:0005581
CEP290	GO:0030030,GO:0005737,GO:0005856,GO:0042995
MBD1	GO:0003677,GO:0008270,GO:0005654,GO:0043231
MFSD12	GO:0015293,GO:0008643,GO:0055085,GO:0016020
B3GALT5	GO:0016758,GO:0006486,GO:0000139
CDH23	GO:0005509,GO:0007156,GO:0005886
BRCC3	GO:0140492
SLC4A1	GO:0005452,GO:0008509,GO:0015106,GO:0015698,GO:0015701,GO:0098656,GO:0098660,GO:0005886
ABCC1	GO:0005524,GO:0015431,GO:0016887,GO:0055085,GO:0005886
LAMA3	GO:0005102,GO:0007155,GO:0030155,GO:0030334,GO:0045995,GO:0005576,GO:0005604,GO:0005783,GO:0016020
CACNA1C	GO:0005245,GO:0046872,GO:0070588,GO:0030315,GO:0030425,GO:0043204,GO:0098839,GO:0005891
EPB41L3	GO:0003779,GO:0005198,GO:0030866,GO:0005856,GO:0005886,GO:0030054
CELA3B	GO:0004252,GO:0006508
EIF4G3	GO:0003723,GO:0003743,GO:0006413
PVR	GO:0016020
FSCN1	GO:0030674,GO:0051015,GO:0007015,GO:0005737,GO:0005856
OSBP2	GO:0008289,GO:0006869
EXOC7	GO:0005546,GO:0006887,GO:0015031,GO:0000145
HPSE2	GO:0016798,GO:0016020
ADCY3	GO:0004016,GO:0004016,GO:0005524,GO:0046872,GO:0006171,GO:0035556,GO:0005886
PDGFA	GO:0008083,GO:0007165,GO:0005576,GO:0016020
ANKLE1	GO:0004519
RMDN2	GO:0000922,GO:0005874,GO:0016020
HADH	GO:0016616,GO:0070403,GO:0006631,GO:0005654,GO:0005739,GO:0005759
AGTR1	GO:0001596,GO:0004945,GO:0019229,GO:0086097,GO:0005886
KCNMA1	GO:0005267,GO:0022839,GO:0099094,GO:0071805,GO:0016020
PLEKHB2	GO:0016020
ZNF441	GO:0006355
WIPF3	GO:0003779,GO:0043014,GO:0034314,GO:0005769,GO:0071203
SLC23A3	GO:0022857,GO:0055085,GO:0071702,GO:0016020
SLC35E1	GO:0016020
ADARB1	GO:0003723,GO:0005654,GO:0005829
DYDC1	GO:0048188
MUC1	GO:0005634,GO:0005737,GO:0016324
VEGFA	GO:0008083,GO:0008201,GO:0001525,GO:0007165,GO:0007165,GO:0008284,GO:0030154,GO:0051781,GO:0005576,GO:0016020
LDAH	GO:0016298,GO:0019915,GO:0005811
VEGFA	GO:0008083,GO:0008201,GO:0001525,GO:0007165,GO:0007165,GO:0008284,GO:0030154,GO:0051781,GO:0005576,GO:0016020
CHD1L	GO:0003678,GO:0005524,GO:0016787,GO:0140658,GO:0006281,GO:0006338,GO:0032508,GO:0005654,GO:0005829,GO:0005886
PRDX1	GO:0016209,GO:0016491,GO:0098869
INSC	GO:0008356
PHC2	GO:0003677,GO:0008270,GO:0005654,GO:0032991
PTER	GO:0008270,GO:0009056
PLEKHB2	GO:0016020
FBXO44	GO:0005737
VEGFA	GO:0008083,GO:0008201,GO:0001525,GO:0007165,GO:0007165,GO:0008284,GO:0030154,GO:0051781,GO:0005576,GO:0016020
MYD88	GO:0070976,GO:0002755,GO:0006954,GO:0043123,GO:0005737
NOL8	GO:0003723,GO:0005730
KIF20B	GO:0003777,GO:0005524,GO:0008017,GO:0007018
CDK18	GO:0004674,GO:0005524
PPP6R2	GO:0019903
GPSM1	GO:0030695,GO:0005654,GO:0005794,GO:0016020
FBXW5	GO:0016567,GO:0019005,GO:0080008
PI4KB	GO:0046854
IKZF2	GO:0003677,GO:0046872,GO:0005634
TRAPPC3L	GO:0048193,GO:0005794,GO:0030008
SERHL2	GO:0016787
RBM14-RBM4	GO:0003723
HSPH1	GO:0005524,GO:0140662,GO:0006457,GO:0005654,GO:0005829
UTRN	GO:0003779
FRS3	GO:0016020
RFX5	GO:0003677,GO:0003700,GO:0006355
SPC24	GO:0000776,GO:0005634
ACE	GO:0004180,GO:0008237,GO:0008241,GO:0046872,GO:0006508,GO:0005576,GO:0005737,GO:0016020
NELFE	GO:0003723,GO:0006355,GO:0005654,GO:0005694,GO:0005886,GO:0016604,GO:0032021
PDLIM5	GO:0046872
OSTM1	GO:0016020
PIP5K1B	GO:0005524,GO:0052742,GO:0046488
SRRT	GO:0006397,GO:0005634
FRMPD3	GO:0005856
RFX5	GO:0003677,GO:0003700,GO:0006355
UHRF2	GO:0003677,GO:0042393,GO:0046872,GO:0061630,GO:0016567,GO:0005634
SHLD1	GO:2001032
CALCR	GO:0004948,GO:0007166,GO:0007188,GO:0005886
MON1A	GO:0006623,GO:0016192
ZNF343	GO:0003677,GO:0008270,GO:0006355,GO:0005634
WAC	GO:0006325,GO:0005634
KDM4C	GO:0046872,GO:0005634
DAZ1	GO:0003730,GO:0007283,GO:0030154,GO:0005737
SNAP25	GO:0005249,GO:0017075,GO:0071805,GO:0001917,GO:0005886,GO:0043005,GO:0045202
NUDC	GO:0005829
SMARCA2	GO:0006338,GO:0016586
BEND7	GO:0003677
AKR1C3	GO:0004303
DAZ4	GO:0003730,GO:0007283,GO:0030154,GO:0005737
MRPL55	GO:0003735,GO:0005762
RUNX1T1	GO:0003714,GO:0046872,GO:0006351,GO:0045892,GO:0005654
RMI1	GO:0002023,GO:0009749,GO:0035264,GO:0042593,GO:0005654,GO:0016604
ABCA8	GO:0005524,GO:0016887,GO:0140359,GO:0006869,GO:0055085,GO:0016020
SEZ6	GO:0016020
CREM	GO:0003677,GO:0003700,GO:0006355,GO:0005634
NUDC	GO:0005829,GO:0016020
TRPM8	GO:0005216,GO:0034220,GO:0016020
C1QB	GO:0005576
FBXW5	GO:0016567,GO:0019005,GO:0080008
TAPBP	GO:0019885,GO:0016020
UBR4	GO:0008270,GO:0016567
EBF4	GO:0003677,GO:0003700,GO:0046872,GO:0006355,GO:0005634
ZNF778	GO:0046872,GO:0006355,GO:0005634
TTC39A	GO:0005813
C10orf90	GO:0005813,GO:0005829,GO:0005886
DDR1	GO:0004714,GO:0005524,GO:0038063,GO:0016020
ROBO1	GO:0008046,GO:0016199,GO:0035385,GO:0005886
HOXD8	GO:0000981,GO:0003677,GO:0006357,GO:0005634
PIGV	GO:0000009,GO:0004376,GO:0006506,GO:0005789
IARS1	GO:0000049,GO:0002161,GO:0004822,GO:0005524,GO:0006428,GO:0106074,GO:0005654,GO:0005829,GO:0017101
IQCA1	GO:0005524,GO:0016887
TK2	GO:0016301
EZH1	GO:0140951,GO:0006338,GO:0032259,GO:0005654
PLCXD1	GO:0008081,GO:0006629
FDXR	GO:0015039,GO:0015039,GO:0008203,GO:0005739
LILRB4	GO:0007166,GO:0016020
CSTF1	GO:0031124,GO:0005848
NFYC	GO:0003677,GO:0046982,GO:0005634
GSN	GO:0051015,GO:0051014,GO:0051016,GO:0060271,GO:0005737,GO:0005856
NELFE	GO:0003723,GO:0006355,GO:0005654,GO:0005886,GO:0016604,GO:0032021
SMARCA2	GO:0005524,GO:0006355,GO:0005634
PPP1R8	GO:0005654,GO:0016607
DDX39B	GO:0003676,GO:0003724,GO:0005524,GO:0016787,GO:0016607
IKZF2	GO:0003677,GO:0046872,GO:0005634
ABCA13	GO:0005524,GO:0016887,GO:0140359,GO:0032376,GO:0035627,GO:0055085,GO:1900244,GO:0016020,GO:0097708
EMILIN1	GO:0005576
PIP5K1B	GO:0005524,GO:0052742,GO:0046488
ATP1A3	GO:0005524,GO:0008556,GO:0016887,GO:0071805,GO:0016020
SYCE1	GO:0016020
PLCXD1	GO:0008081,GO:0006629
LIPA	GO:0016787,GO:0016042,GO:0001650,GO:0005654,GO:0005829,GO:0043231
SCAF8	GO:0003723,GO:0005654
PRXL2B	GO:0001516,GO:0005829
DOCK9	GO:0005085,GO:0007264
SCN5A	GO:0005248,GO:0035725,GO:0035725,GO:0005654,GO:0005730,GO:0005886,GO:0001518
PLCXD1	GO:0008081,GO:0006629
POU2F1	GO:0000981,GO:0003677,GO:0006357,GO:0005654,GO:0043231
MPHOSPH8	GO:0005654,GO:0005730,GO:0005829,GO:0005886
VPS54	GO:0015031,GO:0042147,GO:0005829,GO:0000938
SLCO4A1	GO:0055085,GO:0016020
RXFP1	GO:0004930,GO:0007186,GO:0005886
WT1	GO:0003677,GO:0046872,GO:0006355,GO:0005654,GO:0005829,GO:0016607
CSTF2	GO:0003723
TCEA2	GO:0003677,GO:0008270,GO:0006368,GO:0005634
ATG4A	GO:0008234,GO:0019786,GO:0006508,GO:0006629,GO:0006914,GO:0015031,GO:0005737
ZNF343	GO:0006355,GO:0005634
FDXR	GO:0015039,GO:0015039,GO:0008203,GO:0005739
WASHC2C	GO:0005730,GO:0005829,GO:0043231
CHGB	GO:0005576,GO:0030141
MUC15	GO:0016020
DNASE1L3	GO:0004519,GO:0004536,GO:0006308
CCM2	GO:0005739
TLE4	GO:0006355,GO:0016055,GO:0005634
IVD	GO:0008470,GO:0042802,GO:0050660,GO:0006552,GO:0005654,GO:0005739,GO:0005759,GO:0031966
ZNF138	GO:0006355
TAPBP	GO:0016020
VEGFA	GO:0008083,GO:0008201,GO:0001525,GO:0007165,GO:0007165,GO:0008284,GO:0030154,GO:0051781,GO:0005576,GO:0016020
WDR36	GO:0001895,GO:0006364,GO:0030516,GO:0005730,GO:0032040
RBP1	GO:0008289
RNF213	GO:0004842,GO:0016887,GO:0046872,GO:0005730,GO:0005829
TUSC3	GO:0006486,GO:0005789
LAMA4	GO:0005102,GO:0007155,GO:0030155,GO:0030334,GO:0045995,GO:0005576,GO:0005604,GO:0016020
LGSN	GO:0004356,GO:0006542
DCT	GO:0016491,GO:0016853,GO:0046872,GO:0042438,GO:0033162
MICU2	GO:0005509,GO:0006851
DEUP1	GO:0030030,GO:0005737
PTPN22	GO:0004726
ALG2	GO:0004378,GO:0006486,GO:0016020
LMO7	GO:0023051,GO:0030155
OOSP2	GO:0005576
CMTM1	GO:0016020
PTPN22	GO:0004726,GO:0043229
ZBTB44	GO:0046872,GO:0005634
SLCO2B1	GO:0006811,GO:0055085,GO:0005886
HOXD8	GO:0000981,GO:0003677,GO:0006357,GO:0005634
MORN5	GO:0031514
FMN2	GO:0008017,GO:0045010,GO:0005634,GO:0005884
VARS2	GO:0002161,GO:0004832,GO:0005524,GO:0006438,GO:0106074,GO:0005739
DYNC1I1	GO:0007018,GO:0005868
IL7	GO:0005125,GO:0005139,GO:0008083,GO:0006955,GO:0007165,GO:0007165,GO:0005615
ZNF133	GO:0005634
ILK	GO:0004674,GO:0005524,GO:0005829,GO:0005886,GO:0005925,GO:0030017,GO:0030027
DYRK4	GO:0004674,GO:0004712,GO:0005524,GO:0043231
DHCR24	GO:0050614,GO:0071949,GO:0016020
ELOVL5	GO:0009922,GO:0030497,GO:0005783,GO:0005789
TSHR	GO:0004996,GO:0007189,GO:0008344,GO:0030183,GO:0038194,GO:0040012,GO:0040018,GO:0060122,GO:0071542,GO:0090103,GO:0120162,GO:0016323,GO:0016328
FKBP8	GO:0005739,GO:0005783,GO:0005829
SPOCK3	GO:0005509
CTNNA2	GO:0045296,GO:0051015,GO:0007155,GO:0030154,GO:0005634,GO:0005737,GO:0030424
CADM1	GO:0016020
NCEH1	GO:0052689,GO:0016042,GO:0005886,GO:0043231
ZNF211	GO:0046872,GO:0006355,GO:0005634
HNF1A	GO:0003677,GO:0003700,GO:0001889,GO:0006357,GO:0030073,GO:0031016,GO:0045893,GO:0005634
SKP2	GO:0005654,GO:0005730,GO:0005829
TCF7L2	GO:0003677,GO:0016055,GO:0005634
SLC39A1	GO:0016020
CITED2	GO:0006355,GO:0005654,GO:0005829,GO:0043231
GABRA2	GO:0004890,GO:0005230,GO:0005254,GO:0007214,GO:1902476,GO:0030425,GO:0030659,GO:0045211,GO:0034707
CUL2	GO:0031625,GO:0006511,GO:0016567,GO:0005654,GO:0031461
OPALIN	GO:0005886
ZNF100	GO:0046872,GO:0006355
BLOC1S5	GO:0030133,GO:0031083
IL12RB2	GO:0004896,GO:0019221,GO:0005886
FDXR	GO:0015039,GO:0015039,GO:0008203,GO:0005739
CCDC91	GO:0048193,GO:0005654,GO:0005794
DLGAP1	GO:0023052
FAIM2	GO:0005886
PRORP	GO:0008033,GO:0005739
CFAP54	GO:0016020
RGMA	GO:0005886,GO:0098552
ATP5MJ	GO:0005739,GO:0016020
TRPM1	GO:0005216,GO:0034220,GO:0051262,GO:0016020,GO:0034220,GO:0016020
OGFOD1	GO:0005506,GO:0016706,GO:0031418,GO:0005654,GO:0005829
TMEM100	GO:0016020
DPH1	GO:0090560,GO:0017183
HYI	GO:0008903,GO:0008903
FDXR	GO:0015039,GO:0015039,GO:0008203,GO:0005739
RNF213	GO:0004842,GO:0016887,GO:0046872,GO:0005730,GO:0005829
TCF3	GO:0003677,GO:0046983,GO:0005634
ZNF559	GO:0006355
LAMA3	GO:0005102,GO:0007155,GO:0030155,GO:0030334,GO:0045995,GO:0005576,GO:0005604,GO:0005783,GO:0016020
MBD3	GO:0043227,GO:0043229
TTN	GO:0004672,GO:0005524,GO:0045214,GO:0031674
FDX2	GO:0051537,GO:0140647
GPX4	GO:0004601,GO:0006979,GO:0098869,GO:0005739
ZNF559	GO:0046872,GO:0006355,GO:0005634
CELF4	GO:0003723
GDF15	GO:0005794
NCR1	GO:0005886
TMEM259	GO:0016020,GO:0043229
TMEM80	GO:0016020
IL6ST	GO:0004896,GO:0019221,GO:0016020
JAK1	GO:0004715,GO:0005524,GO:0019221,GO:0030155,GO:0035556,GO:0051239,GO:0005856,GO:0012505,GO:0016020
TARDBP	GO:0003723,GO:0006397,GO:0008380,GO:0005634
ADSL	GO:0004018,GO:0004018,GO:0070626,GO:0070626,GO:0006189,GO:0044208,GO:0005829
TNFSF12-TNFSF13	GO:0005125,GO:0005164,GO:0006955,GO:0007165,GO:0005615,GO:0016020
TMED7-TICAM2	GO:0015031,GO:0005789,GO:0005794,GO:0033116
CDHR1	GO:0005509,GO:0007156,GO:0005886
CHRFAM7A	GO:0004888,GO:0005230,GO:0034220,GO:0016020
ARHGEF9	GO:0005085
TVP23C-CDRT4	GO:0016020
RPS6KA4	GO:0000287,GO:0004674,GO:0005524,GO:0035556,GO:0005654,GO:0005829
ZFP91-CNTF	GO:0046872,GO:0005634
PPP2R2D	GO:0019888,GO:0000159
LAMA3	GO:0005102,GO:0007155,GO:0030155,GO:0030334,GO:0045995,GO:0005576,GO:0005604,GO:0005783,GO:0016020
ARHGEF9	GO:0005085,GO:0005829
STON1-GTF2A1L	GO:0006367,GO:0006897,GO:0005737,GO:0005672
NCAPH2	GO:0030261,GO:0005654,GO:0030054,GO:0045171
RBAK-RBAKDN	GO:0006355
ARPC4-TTLL3	GO:0030041,GO:0034314,GO:0036211,GO:0005737,GO:0042995,GO:0005885
C15orf38-AP3S2	GO:0006886,GO:0006896,GO:0051126,GO:0030659,GO:0043231,GO:0030123
CBWD5	GO:0005525,GO:0016787,GO:0005634
PPAN-P2RY11	GO:0019843,GO:0006364,GO:0005730
VGLL4	GO:0006355
RBM14-RBM4	GO:0003723
MSANTD3-TMEFF1	GO:0016020
MACF1	GO:0005886,GO:0015629,GO:0030054
LUC7L2	GO:0003729,GO:0006376,GO:0005685
A0A0A6YYJ9	GO:0022857,GO:0006811,GO:0055085,GO:0005886
A0A0A6YYK5	GO:0003677,GO:0005634
TGIF2-C20orf24	GO:0003677,GO:0006355,GO:0097250,GO:0005634,GO:0005789
ST20-MTHFS	GO:0005524,GO:0030272,GO:0030272,GO:0046872
SULT1A4	GO:0008146
PAM16	GO:0005737
FXYD6-FXYD2	GO:0099106,GO:0034220,GO:0043269,GO:0016020
RPL17-C18orf32	GO:0003735,GO:0006412,GO:0015934
SLC25A22	GO:0005743
MDM2	GO:0046872,GO:0043066,GO:0051726,GO:0005634,GO:0046872,GO:0043066,GO:0051726,GO:0005634
CSHL1	GO:0005179,GO:0046872,GO:0007165,GO:0005576
MYC	GO:0003700,GO:0006355,GO:0005654
ACSS3	GO:0003987,GO:0050218,GO:0006629,GO:0005739,GO:0043231
HPD	GO:0003868,GO:0046872,GO:0009072,GO:0000139,GO:0005789
BORCS7-ASMT	GO:0016020
CCDC174	GO:0005654
SYCE1	GO:0007130,GO:0000795
OR1L1	GO:0004930,GO:0004984,GO:0007186,GO:0050911,GO:0005886
CIITA	GO:0005524,GO:0000122,GO:0045348,GO:0045944,GO:0045944,GO:0071257,GO:0071346,GO:0071360,GO:0005654,GO:0005829,GO:0009986
FCAMR	GO:0016020
BIRC5	GO:0004869,GO:0000226,GO:0007059,GO:0007127,GO:0007346,GO:0043524,GO:0061178,GO:0061469,GO:0000776,GO:0005634,GO:0005737,GO:0005874,GO:0030496
KIR2DL4	GO:0016020
