Gene	Terms
IKBKE	GO:0004674,GO:0005524,GO:0010628
SRGAP2	GO:0007165
RHEX	GO:0016020
ZNF595	GO:0003677,GO:0046872,GO:0005634,GO:0046872,GO:0006355,GO:0005634
APBB1	GO:0001540
A0A087WSV2	GO:0005758,GO:0005765,GO:0031083
LILRB1	GO:0007166,GO:0016020
HELT	GO:0003677,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0046983,GO:0006355,GO:0005634
CFAP70	GO:0003341,GO:0060271,GO:0005930,GO:0036126
ZNF43	GO:0046872,GO:0006355,GO:0005634
FAM72C	GO:0005829,GO:0043231
HELLS	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338
LILRB1	GO:0007166,GO:0016020
MUSK	GO:0004714,GO:0005524,GO:0046872,GO:0005886,GO:0045202
CPB2	GO:0004181,GO:0008270,GO:0006508,GO:0042730
ACTN3	GO:0003779,GO:0005509,GO:0005737,GO:0015629
DHRS4L2	GO:0016491
CD302	GO:0005938,GO:0016020,GO:0030175
PMF1-BGLAP	GO:0051301,GO:0005634,GO:0000444
CENPS-CORT	GO:0005179,GO:0046982,GO:0007165,GO:0007165,GO:0005576,GO:0071821
ALG13	GO:0004577,GO:0006488
KIAA1191	GO:0005737
DCAF13	GO:0016567,GO:0005654,GO:0005730,GO:0005813,GO:0005829,GO:0030054,GO:1990904
CECR2	GO:0006338,GO:0090537
TP53	GO:0000976,GO:0003700,GO:0046872,GO:0006915,GO:0045893,GO:0048511,GO:0005759,GO:0005783,GO:0005813,GO:0016605
UBXN8	GO:0005654,GO:0005730,GO:0005783,GO:0016020
VAC14	GO:0006661,GO:0070772
PGM3	GO:0004610,GO:0046872,GO:0005975,GO:0006048
NOPCHAP1	GO:0000492
MBD3	GO:0043227,GO:0043229
PIP4K2B	GO:0005524,GO:0052742,GO:0046488
LIME1	GO:0050852,GO:0050853
SLC2A8	GO:0022857,GO:0055085,GO:0071702,GO:0005886
HMOX2	GO:0004392,GO:0046872,GO:0006788,GO:0016020
GRIPAP1	GO:0005654,GO:0005829,GO:0043231
DNAJA2	GO:0030544,GO:0046872,GO:0051082,GO:0006457,GO:0016020
GFOD2	GO:0000166,GO:0016491,GO:0005576
DNAAF8	GO:0070840,GO:0005737
CHEK1	GO:0004674,GO:0005524,GO:0006974,GO:0005634
MAGI1	GO:0005654,GO:0005730,GO:0030054
DCP1A	GO:0008047,GO:0000290,GO:0005737,GO:0043229
A0A087WT57	GO:0050852,GO:0050853
TTR	GO:0005179,GO:0070324,GO:0007165,GO:0005576
NPIPB4	GO:0016020
MCL1	GO:0006915,GO:0006950,GO:0030154,GO:2001233,GO:0005654,GO:0005739,GO:0016020,GO:0097136
TMC4	GO:0034220,GO:0005886
ZNF195	GO:0046872,GO:0006355
STK11	GO:0004672,GO:0005524
SPPL2B	GO:0042500,GO:0005654,GO:0005813,GO:0005886,GO:0015629
HSP90B1	GO:0005524,GO:0016887,GO:0051082,GO:0140662,GO:0006457,GO:0060255,GO:0005783,GO:0042470
SLC1A3	GO:0015179,GO:0015293,GO:1902475,GO:0005886
MRPL46	GO:0003735,GO:0005739,GO:0005840,GO:1990904
LAMTOR4	GO:0032008,GO:0071230,GO:0071986
ACOT2	GO:0016790,GO:0052689,GO:0006637
C11orf54	GO:0005654,GO:0016604
CNTNAP4	GO:0007155,GO:0016020
SPINK2	GO:0004867,GO:0007286
RAD54L	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338,GO:0005654
ZNF772	GO:0046872,GO:0006355,GO:0005634
IL6R	GO:0004896,GO:0019221,GO:0016020
GNAO1	GO:0003924,GO:0019001,GO:0031683,GO:0007186
HTD2	GO:0016836
ZC3H14	GO:0005730,GO:0016607
NPRL3	GO:0032007,GO:0034198,GO:0005764,GO:1990130
CYP39A1	GO:0004497,GO:0005506,GO:0016705,GO:0020037,GO:0006694,GO:0044283,GO:1901617,GO:0043231
NOMO2	GO:0005789
AKAP13	GO:0005085,GO:0046872,GO:0005829
GFOD2	GO:0000166,GO:0016491,GO:0005576
ALDH3B1	GO:0016491,GO:0006081
EPHB6	GO:0005524
ANK3	GO:0007165
PTPDC1	GO:0004725,GO:0007224,GO:0060271,GO:0005654
ANK3	GO:0007165,GO:0005886
DPP6	GO:0016020
DZANK1	GO:0042995
KIZ	GO:0007051,GO:0005737,GO:0005813,GO:0042995
AATF	GO:0005654,GO:0005730
COG3	GO:0006886,GO:0005801,GO:0016020
MYB	GO:0003677,GO:0006355,GO:0005654,GO:0005829
FAM156A	GO:0035064
GIMAP1-GIMAP5	GO:0005525,GO:0005783,GO:0016020
PPARGC1A	GO:0003712,GO:0005634
TPM1	GO:0003779,GO:0005856
ODAD4	GO:0005737,GO:0042995
UBR1	GO:0008270,GO:0061630,GO:0016567,GO:0071596
RNF40	GO:0004842,GO:0046872,GO:0006325,GO:0016567,GO:0005634
ZNF248	GO:0006355,GO:0005634
PALM	GO:0008360,GO:0005654,GO:0005886,GO:0016323,GO:0016327,GO:0016328,GO:0030424,GO:0030425,GO:0031527,GO:0045202
ATP5F1D	GO:0046933,GO:0006811,GO:0015986,GO:0005743,GO:0045261
BCL2L13	GO:0006915,GO:0042981,GO:0016020
CHD1L	GO:0003678,GO:0005524,GO:0016787,GO:0140658,GO:0006281,GO:0006338,GO:0032508,GO:0005634
RNF34	GO:0046872,GO:0016020
FAS	GO:0004888,GO:0006915,GO:0006955,GO:0007165,GO:0042981,GO:0005886,GO:0009986
ADAP1	GO:0005096,GO:1902936,GO:0005829,GO:0005886
ANXA8	GO:0005509,GO:0005544
CYFIP2	GO:0031267,GO:0030833,GO:0005737,GO:0045202
PCDH15	GO:0005509,GO:0007156,GO:0007605,GO:0048839,GO:0005886,GO:0032420
MDM4	GO:0046872,GO:0043066,GO:0051726,GO:0005654
ADAMTS9	GO:0004222,GO:0008270
PABPC1	GO:0003723,GO:0000184,GO:0006397,GO:0005829
TMEM230	GO:0016020
RPS29	GO:0003735,GO:0008270,GO:0006412,GO:0005791,GO:0005840,GO:1990904
ALG13	GO:0004577,GO:0006488
ARHGAP23	GO:0007165
TMPRSS4	GO:0004252,GO:0006508,GO:0016020
DMD	GO:0008270,GO:0042383,GO:0045211
ALMS1	GO:0005737,GO:0005813
OSBPL2	GO:0008289,GO:0006869
CPSF1	GO:0003676,GO:0005634
PYCR2	GO:0004735,GO:0055129,GO:0005739
UHRF1	GO:0003677,GO:0042393,GO:0046872,GO:0061630,GO:0016567,GO:0005654
CASP8AP2	GO:0002020,GO:0008656,GO:0042802,GO:0008625
RGS6	GO:0005096,GO:0007186,GO:0008277,GO:0009968,GO:0035556
HEXA	GO:0016787
COL4A1	GO:0005581
NBL1	GO:0005576
ALG9	GO:0016757,GO:0016020
UBXN1	GO:0005654,GO:0005829
NSMCE2	GO:0019789,GO:0000724,GO:0005634,GO:0030915
CMIP	GO:0005654,GO:0005829
TUBGCP3	GO:0043015,GO:0007020,GO:0000922,GO:0005815,GO:0005874
MICOS10	GO:0005739,GO:0061617
MED16	GO:0005634
CD9	GO:0007338,GO:0005576,GO:0005886
SCAMP1	GO:0015031,GO:0016020
ACSM2B	GO:0016874
RRBP1	GO:0015031,GO:0005783,GO:0005789
MRPL51	GO:0003735,GO:0005739
GYPA	GO:0005654,GO:0005829,GO:0005886
ZNF714	GO:0046872,GO:0006355,GO:0005634
IKZF1	GO:0003677,GO:0046872,GO:0005654,GO:0005829
CIBAR2	GO:0005814
CYFIP1	GO:0031267,GO:0030833
MAGT1	GO:0006486,GO:0005789,GO:0005886
ALDH3B1	GO:0016620,GO:0006081
MYO19	GO:0003774,GO:0003779,GO:0005524,GO:0005739,GO:0005829,GO:0016459
DDC	GO:0016831,GO:0030170,GO:0006520,GO:0019752,GO:0042423
TTLL11	GO:0036211
PCDHGC4	GO:0005509,GO:0007155,GO:0005886
MRPL45	GO:0005739,GO:0005840,GO:1990904
PTBP1	GO:0003723
TADA2A	GO:0008270
MRTFA	GO:0045944,GO:0005654,GO:0005829
SAMD11	GO:0003677,GO:0046872,GO:0005634
HSD11B1	GO:0016020
NHS	GO:0005794,GO:0016604,GO:0030054
ADH1C	GO:0008270,GO:0016491,GO:0044281
TMEM14B	GO:0016020
MFSD12	GO:0015293,GO:0008643,GO:0055085,GO:0016020
CD24	GO:0007155,GO:0043231
AP2B1	GO:0030276,GO:0006886,GO:0016192,GO:0030117
PABIR3	GO:0004865
ACACB	GO:0003989
UBXN8	GO:0036503,GO:0016020
ZNF804B	GO:0046872
ITPRID1	GO:0005102
ADH1C	GO:0008270,GO:0016491,GO:0044281
PCDH11Y	GO:0016020
CYP4F8	GO:0004497,GO:0005506,GO:0016705,GO:0020037,GO:0016020
NEDD9	GO:0005654,GO:0005829,GO:0005886
OSTC	GO:0006486,GO:0008250
SERPING1	GO:0004867,GO:0005615
TACC3	GO:0007052,GO:0005829,GO:0034451,GO:0043231,GO:0072686
MDM4	GO:0046872,GO:0043066,GO:0051726,GO:0005634
LENG8	GO:0032991
CCL16	GO:0008009,GO:0006955,GO:0007165,GO:0060326,GO:0005615
GON4L	GO:0005634
SYMPK	GO:0006397,GO:0005654,GO:0005829,GO:0005886
SMAD4	GO:0046872,GO:0006355,GO:0005634,GO:0005737,GO:0005667
ALDH3B1	GO:0016491,GO:0006081
SLC1A7	GO:0015179,GO:0015293,GO:1902475,GO:0016020
ASRGL1	GO:0016787
CSH1	GO:0005179,GO:0046872,GO:0007165,GO:0005576
CNTNAP3B	GO:0007155
TRIM46	GO:0008270,GO:0005737,GO:0005856
PLK2	GO:0004674,GO:0005524,GO:0106310
HNRNPA2B1	GO:0097157,GO:0000122,GO:0048025,GO:0005654
TPSB2	GO:0004252,GO:0006508
PIBF1	GO:0005515,GO:0005515,GO:0042802,GO:0034451
DSCAM	GO:0007399,GO:0016020,GO:0045202
GMPPA	GO:0016740,GO:0009058
LIME1	GO:0050852,GO:0050853,GO:0016020
ASPH	GO:0062101
ZNF516	GO:0003677,GO:0046872,GO:0005634
A0A087WUJ7	GO:0004563,GO:0004563,GO:0102148,GO:0005975,GO:0005764
IFI27	GO:0006915,GO:0016020
HNRNPDL	GO:0003677,GO:0003723,GO:0005654,GO:0005737,GO:1990904
