gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSG00000134955.11,649,347,550,342,166,83,222,200,144,353,163,619,49,119,273,197,160,207,4442,224,3767
ENSG00000111371.15,9553,5468,9244,5533,3994,1351,2280,3900,4046,3476,5323,2875,13994,8107,2646,2301,1698,5785,6302,3164,5593
ENSG00000169507.9,699,381,118,163,1458,374,2,300,411,3206,119,72,126,21,267,26,37,182,25,48,103
ENSG00000139974.15,558,200,483,276,325,123,63,202,110,492,201,424,109,153,516,314,337,437,384,507,433
ENSG00000133195.11,444,260,471,334,116,134,124,215,84,163,108,384,126,207,526,160,259,273,1381,532,779
ENSG00000147804.9,539,136,1296,68,132,1,68,193,82,216,169,149,46,57,186,153,195,192,629,279,619
ENSG00000138079.13,27881,22187,4757,10227,59,1251,3357,836,16260,9493,7418,129,53,167,23,15,18,24,4,7,23
ENSG00000168003.16,2775,3034,8530,2506,4144,513,3243,4081,1400,1953,1552,8735,7696,7104,5241,5090,9364,7966,7705,11104,14807
ENSG00000138449.10,7903,6641,981,6197,1815,549,807,1650,3627,3125,3932,1990,1029,1084,5200,2687,6805,15071,1646,7987,1713
ENSG00000136052.9,4490,1783,5273,1985,1165,552,517,964,604,944,728,670,27,487,731,239,768,312,69,994,183
ENSG00000114544.16,1131,851,863,688,341,182,381,491,466,763,319,2656,3759,3038,3111,1620,1607,3552,2720,2543,2085
ENSG00000167703.14,5005,1902,3371,1824,693,622,2587,3019,803,859,696,1636,4170,681,2095,835,1999,851,472,2195,452
ENSG00000134802.17,3947,1000,11877,1388,3964,402,528,8400,945,2195,1182,15330,712,5951,4686,3181,14729,4151,1921,9299,7210
ENSG00000137968.16,62,846,1765,27,358,2,1,413,5,35,101,4,2,12,15,82,11,51,6,75,51
