sample,group
TCGA.D7.5577.01A,1
TCGA.D7.6818.01A,1
TCGA.BR.4280.01A,1
TCGA.D7.8572.01A,1
GTEX.1399T.1326.SM.5PNVH,2
GTEX.13OVL.0011.R3b.SM.5L3I8,2
GTEX.Q2AI.0006.SM.2I3FG,2
GTEX.ZTSS.1226.SM.51MSZ,2
